year,crop,acres_harvested,ears_per_acre,plant_pop,production_dollars,bu_per_acre
1866,BARLEY,66e3,NA,NA,NA,22
1866,CORN_GRAIN,181e4,NA,NA,NA,32
1866,OATS,45e4,NA,NA,NA,34.5
1866,RYE,4e4,NA,NA,NA,16
1866,WHEAT,119e4,NA,NA,NA,13
1867,BARLEY,7e4,NA,NA,NA,25
1867,CORN_GRAIN,181e4,NA,NA,NA,41
1867,OATS,5e5,NA,NA,NA,40
1867,RYE,38e3,NA,NA,NA,16.5
1867,WHEAT,152e4,NA,NA,NA,12
1868,BARLEY,75e3,NA,NA,NA,20
1868,CORN_GRAIN,189e4,NA,NA,NA,40.5
1868,OATS,56e4,NA,NA,NA,31
1868,RYE,36e3,NA,NA,NA,14.5
1868,WHEAT,198e4,NA,NA,NA,13.5
1869,BARLEY,9e4,NA,NA,NA,21.7
1869,CORN_GRAIN,208e4,NA,NA,NA,33.5
1869,OATS,61e4,NA,NA,NA,35
1869,RYE,36e3,NA,NA,NA,14
1869,WHEAT,229e4,NA,NA,NA,13
1870,BARLEY,1e5,NA,NA,NA,22.5
1870,CORN_GRAIN,255e4,NA,NA,NA,40
1870,OATS,66e4,NA,NA,NA,30
1870,RYE,34e3,NA,NA,NA,15.5
1870,WHEAT,211e4,NA,NA,NA,12.5
1871,BARLEY,115e3,NA,NA,NA,22.5
1871,CORN_GRAIN,306e4,NA,NA,NA,43.5
1871,OATS,75e4,NA,NA,NA,40
1871,RYE,35e3,NA,NA,NA,15
1871,WHEAT,242e4,NA,NA,NA,11
1872,BARLEY,132e3,NA,NA,NA,22.5
1872,CORN_GRAIN,336e4,NA,NA,NA,41
1872,OATS,85e4,NA,NA,NA,35.5
1872,RYE,35e3,NA,NA,NA,15
1872,WHEAT,257e4,NA,NA,NA,12.5
1873,BARLEY,148e3,NA,NA,NA,18
1873,CORN_GRAIN,36e5,NA,NA,NA,32.5
1873,OATS,91e4,NA,NA,NA,33
1873,RYE,35e3,NA,NA,NA,15
1873,WHEAT,311e4,NA,NA,NA,13
1874,BARLEY,166e3,NA,NA,NA,21.5
1874,CORN_GRAIN,415e4,NA,NA,NA,34
1874,OATS,96e4,NA,NA,NA,30
1874,RYE,37e3,NA,NA,NA,14.5
1874,WHEAT,342e4,NA,NA,NA,11.5
1875,BARLEY,223e3,NA,NA,NA,18
1875,CORN_GRAIN,46e5,NA,NA,NA,35
1875,OATS,1075e3,NA,NA,NA,36
1875,RYE,4e4,NA,NA,NA,14
1875,WHEAT,318e4,NA,NA,NA,10
1876,BARLEY,242e3,NA,NA,NA,18
1876,CORN_GRAIN,52e5,NA,NA,NA,34
1876,OATS,125e4,NA,NA,NA,25.5
1876,RYE,38e3,NA,NA,NA,13.5
1876,WHEAT,283e4,NA,NA,NA,6.5
1877,BARLEY,23e4,NA,NA,NA,23
1877,CORN_GRAIN,58e5,NA,NA,NA,33.5
1877,OATS,142e4,NA,NA,NA,38
1877,RYE,42e3,NA,NA,NA,15.5
1877,WHEAT,246e4,NA,NA,NA,14.5
1878,BARLEY,212e3,NA,NA,NA,20
1878,CORN_GRAIN,61e5,NA,NA,NA,40.5
1878,OATS,15e5,NA,NA,NA,36.5
1878,RYE,65e3,NA,NA,NA,15
1878,WHEAT,308e4,NA,NA,NA,9.5
1879,BARLEY,199e3,NA,NA,NA,20.2
1879,CORN_GRAIN,6616e3,NA,NA,NA,41.6
1879,OATS,1508e3,NA,NA,NA,33.6
1879,RYE,103e3,NA,NA,NA,14.8
1879,WHEAT,3049e3,NA,NA,NA,10.2
1880,BARLEY,2e5,NA,NA,NA,22.5
1880,CORN_GRAIN,695e4,NA,NA,NA,39.5
1880,OATS,175e4,NA,NA,NA,35
1880,RYE,106e3,NA,NA,NA,14.5
1880,WHEAT,268e4,NA,NA,NA,10.5
1881,BARLEY,22e4,NA,NA,NA,19
1881,CORN_GRAIN,653e4,NA,NA,NA,30
1881,OATS,205e4,NA,NA,NA,29
1881,RYE,112e3,NA,NA,NA,13
1881,WHEAT,198e4,NA,NA,NA,6
1882,BARLEY,23e4,NA,NA,NA,22.5
1882,CORN_GRAIN,674e4,NA,NA,NA,30.5
1882,OATS,24e5,NA,NA,NA,31.5
1882,RYE,125e3,NA,NA,NA,15
1882,WHEAT,165e4,NA,NA,NA,10.5
1883,BARLEY,245e3,NA,NA,NA,24
1883,CORN_GRAIN,7e6,NA,NA,NA,29
1883,OATS,282e4,NA,NA,NA,36
1883,RYE,13e4,NA,NA,NA,14.5
1883,WHEAT,162e4,NA,NA,NA,13.5
1884,BARLEY,28e4,NA,NA,NA,24.5
1884,CORN_GRAIN,736e4,NA,NA,NA,39.5
1884,OATS,302e4,NA,NA,NA,37
1884,RYE,13e4,NA,NA,NA,14.5
1884,WHEAT,154e4,NA,NA,NA,13
1885,BARLEY,325e3,NA,NA,NA,24
1885,CORN_GRAIN,758e4,NA,NA,NA,36.5
1885,OATS,32e5,NA,NA,NA,34
1885,RYE,132e3,NA,NA,NA,14.5
1885,WHEAT,143e4,NA,NA,NA,12
1886,BARLEY,375e3,NA,NA,NA,25
1886,CORN_GRAIN,796e4,NA,NA,NA,29
1886,OATS,333e4,NA,NA,NA,35
1886,RYE,13e4,NA,NA,NA,15
1886,WHEAT,129e4,NA,NA,NA,14
1887,BARLEY,44e4,NA,NA,NA,20.5
1887,CORN_GRAIN,812e4,NA,NA,NA,30
1887,OATS,353e4,NA,NA,NA,30.5
1887,RYE,11e4,NA,NA,NA,13.5
1887,WHEAT,116e4,NA,NA,NA,12
1888,BARLEY,455e3,NA,NA,NA,21.5
1888,CORN_GRAIN,844e4,NA,NA,NA,39.5
1888,OATS,37e5,NA,NA,NA,29
1888,RYE,11e4,NA,NA,NA,15
1888,WHEAT,105e4,NA,NA,NA,12.5
1889,BARLEY,52e4,NA,NA,NA,25.8
1889,CORN_GRAIN,861e4,NA,NA,NA,41.3
1889,FLAXSEED,245e3,NA,NA,NA,10
1889,OATS,382e4,NA,NA,NA,39.1
1889,RYE,1e5,NA,NA,NA,15.4
1889,WHEAT,94e4,NA,NA,NA,14.1
1890,BARLEY,525e3,NA,NA,NA,24
1890,CORN_GRAIN,879e4,NA,NA,NA,28
1890,FLAXSEED,28e4,NA,NA,NA,10.5
1890,OATS,406e4,NA,NA,NA,30.5
1890,RYE,1e5,NA,NA,NA,14.5
1890,WHEAT,98e4,NA,NA,NA,12.5
1891,BARLEY,54e4,NA,NA,NA,27.5
1891,CORN_GRAIN,904e4,NA,NA,NA,40.5
1891,FLAXSEED,295e3,NA,NA,NA,10.5
1891,OATS,42e5,NA,NA,NA,39.5
1891,RYE,105e3,NA,NA,NA,17
1891,WHEAT,99e4,NA,NA,NA,16
1892,BARLEY,565e3,NA,NA,NA,26
1892,CORN_GRAIN,786e4,NA,NA,NA,30.5
1892,FLAXSEED,23e4,NA,NA,NA,10
1892,OATS,414e4,NA,NA,NA,25.5
1892,RYE,11e4,NA,NA,NA,13.5
1892,WHEAT,117e4,NA,NA,NA,14
1893,BARLEY,57e4,NA,NA,NA,26
1893,CORN_GRAIN,818e4,NA,NA,NA,37.5
1893,FLAXSEED,25e4,NA,NA,NA,9
1893,OATS,436e4,NA,NA,NA,25
1893,RYE,108e3,NA,NA,NA,14
1893,WHEAT,86e4,NA,NA,NA,13.5
1894,BARLEY,575e3,NA,NA,NA,19.5
1894,CORN_GRAIN,875e4,NA,NA,NA,15
1894,FLAXSEED,21e4,NA,NA,NA,8
1894,OATS,442e4,NA,NA,NA,25.5
1894,RYE,11e4,NA,NA,NA,14
1894,WHEAT,78e4,NA,NA,NA,14.5
1895,BARLEY,57e4,NA,NA,NA,28.5
1895,CORN_GRAIN,907e4,NA,NA,NA,39
1895,FLAXSEED,21e4,NA,NA,NA,11
1895,OATS,464e4,NA,NA,NA,46
1895,RYE,116e3,NA,NA,NA,17
1895,WHEAT,75e4,NA,NA,NA,19
1896,BARLEY,6e5,NA,NA,NA,29.5
1896,CORN_GRAIN,916e4,NA,NA,NA,43
1896,FLAXSEED,195e3,NA,NA,NA,9.5
1896,OATS,45e5,NA,NA,NA,26
1896,RYE,13e4,NA,NA,NA,14
1896,WHEAT,78e4,NA,NA,NA,14.5
1897,BARLEY,62e4,NA,NA,NA,28
1897,CORN_GRAIN,902e4,NA,NA,NA,33.5
1897,FLAXSEED,24e4,NA,NA,NA,10
1897,OATS,426e4,NA,NA,NA,30
1897,RYE,123e3,NA,NA,NA,14
1897,WHEAT,116e4,NA,NA,NA,13.5
1898,BARLEY,61e4,NA,NA,NA,30
1898,CORN_GRAIN,866e4,NA,NA,NA,36
1898,FLAXSEED,22e4,NA,NA,NA,10.5
1898,OATS,448e4,NA,NA,NA,33
1898,RYE,95e3,NA,NA,NA,15
1898,WHEAT,157e4,NA,NA,NA,16.5
1899,BARLEY,628e3,NA,NA,NA,28.8
1899,CORN_GRAIN,884e4,NA,NA,NA,39.1
1899,FLAXSEED,13e4,NA,NA,NA,11.2
1899,OATS,455e4,NA,NA,NA,35.9
1899,RYE,89e3,NA,NA,NA,15.5
1899,WHEAT,163e4,NA,NA,NA,13.5
1900,BARLEY,62e4,NA,NA,NA,28.5
1900,CORN_GRAIN,91e5,NA,NA,NA,45
1900,FLAXSEED,109e3,NA,NA,NA,11.5
1900,OATS,461e4,NA,NA,NA,35.5
1900,RYE,7e4,NA,NA,NA,14.5
1900,WHEAT,145e4,NA,NA,NA,14.4
1901,BARLEY,61e4,NA,NA,NA,27
1901,CORN_GRAIN,946e4,NA,NA,NA,28.5
1901,FLAXSEED,104e3,NA,NA,NA,13
1901,OATS,448e4,NA,NA,NA,30
1901,RYE,77e3,NA,NA,NA,15
1901,WHEAT,11e5,NA,NA,NA,15.1
1902,BARLEY,6e5,NA,NA,NA,27
1902,CORN_GRAIN,956e4,NA,NA,NA,38
1902,FLAXSEED,95e3,NA,NA,NA,8
1902,OATS,454e4,NA,NA,NA,33.5
1902,RYE,72e3,NA,NA,NA,16
1902,WHEAT,9e5,NA,NA,NA,14
1903,BARLEY,5e5,NA,NA,NA,24
1903,CORN_GRAIN,841e4,NA,NA,NA,32.5
1903,FLAXSEED,41e3,NA,NA,NA,8.5
1903,OATS,46e5,NA,NA,NA,25.5
1903,RYE,65e3,NA,NA,NA,15
1903,WHEAT,64e4,NA,NA,NA,13.8
1904,BARLEY,5e5,NA,NA,NA,27.5
1904,CORN_GRAIN,955e4,NA,NA,NA,39
1904,FLAXSEED,25e3,NA,NA,NA,10.5
1904,OATS,46e5,NA,NA,NA,32
1904,RYE,63e3,NA,NA,NA,14.5
1904,WHEAT,52e4,NA,NA,NA,12
1905,BARLEY,56e4,NA,NA,NA,26
1905,CORN_GRAIN,96e5,NA,NA,NA,41.5
1905,FLAXSEED,18e3,NA,NA,NA,9.5
1905,OATS,462e4,NA,NA,NA,37
1905,RYE,6e4,NA,NA,NA,17
1905,WHEAT,525e3,NA,NA,NA,16.3
1906,BARLEY,55e4,NA,NA,NA,26
1906,CORN_GRAIN,965e4,NA,NA,NA,45.5
1906,FLAXSEED,19e3,NA,NA,NA,10
1906,OATS,462e4,NA,NA,NA,34.5
1906,RYE,56e3,NA,NA,NA,17
1906,WHEAT,56e4,NA,NA,NA,17.6
1907,BARLEY,55e4,NA,NA,NA,23
1907,CORN_GRAIN,97e5,NA,NA,NA,35
1907,FLAXSEED,43e3,NA,NA,NA,10
1907,OATS,473e4,NA,NA,NA,25.5
1907,RYE,53e3,NA,NA,NA,16.5
1907,WHEAT,54e4,NA,NA,NA,15
1908,BARLEY,565e3,NA,NA,NA,24
1908,CORN_GRAIN,935e4,NA,NA,NA,38
1908,FLAXSEED,41e3,NA,NA,NA,10.5
1908,OATS,488e4,NA,NA,NA,25.5
1908,RYE,5e4,NA,NA,NA,16.5
1908,WHEAT,547e3,NA,NA,NA,16.9
1909,BARLEY,571e3,NA,NA,NA,19
1909,CORN_GRAIN,9401e3,NA,NA,NA,37.1
1909,FLAXSEED,16e3,NA,NA,NA,9.1
1909,HAY,4869e3,NA,NA,NA,NA
1909,OATS,4655e3,NA,NA,NA,27.5
1909,RYE,42e3,NA,NA,NA,14
1909,WHEAT,527e3,NA,NA,NA,15.3
1910,BARLEY,485e3,NA,NA,NA,29.5
1910,CORN_GRAIN,953e4,NA,NA,NA,41.5
1910,FLAXSEED,2e4,NA,NA,NA,8.5
1910,HAY,4684e3,NA,NA,NA,NA
1910,OATS,51e5,NA,NA,NA,37.5
1910,RYE,35e3,NA,NA,NA,14.5
1910,WHEAT,558e3,NA,NA,NA,19.3
1911,BARLEY,45e4,NA,NA,NA,19.5
1911,CORN_GRAIN,985e4,NA,NA,NA,35.5
1911,FLAXSEED,39e3,NA,NA,NA,8
1911,HAY,4388e3,NA,NA,NA,NA
1911,OATS,505e4,NA,NA,NA,26
1911,RYE,34e3,NA,NA,NA,15
1911,WHEAT,68e4,NA,NA,NA,16.1
