Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,BARLEY,"BARLEY, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),910,12.7
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,BARLEY,"BARLEY, ORGANIC - OPERATIONS WITH AREA HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),3,9.3
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,BARLEY,"BARLEY, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),3,9.8
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,BARLEY,"BARLEY, ORGANIC - PRODUCTION, MEASURED IN BU",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"42,400",16.2
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,BARLEY,"BARLEY, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"312,000",15.7
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,BARLEY,"BARLEY, ORGANIC - SALES, MEASURED IN BU",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"42,400",17.3
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"7,582",7.5
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - OPERATIONS WITH AREA HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),32,3.7
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),32,4.3
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - PRODUCTION, MEASURED IN BU",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"858,894",7.6
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"6,902,318",10.1
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES, MEASURED IN BU",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"778,113",9.1
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,FIELD CROP TOTALS,"FIELD CROP TOTALS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"37,580",4.6
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,FIELD CROP TOTALS,"FIELD CROP TOTALS, ORGANIC - OPERATIONS WITH AREA HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),76,1.6
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,FIELD CROP TOTALS,"FIELD CROP TOTALS, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),76,1.9
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,FIELD CROP TOTALS,"FIELD CROP TOTALS, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"17,996,563",5.6
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,"FIELD CROPS, OTHER","FIELD CROPS, OTHER, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),140,18.4
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,"FIELD CROPS, OTHER","FIELD CROPS, OTHER, ORGANIC - OPERATIONS WITH AREA HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),4,16.1
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,"FIELD CROPS, OTHER","FIELD CROPS, OTHER, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),4,16.1
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,"FIELD CROPS, OTHER","FIELD CROPS, OTHER, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"39,112",22.6
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,HAY,"HAY, (EXCL ALFALFA), ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"5,592",13.7
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,HAY,"HAY, (EXCL ALFALFA), ORGANIC - OPERATIONS WITH AREA HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),13,8.8
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,HAY,"HAY, (EXCL ALFALFA), ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),10,10.8
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,HAY,"HAY, (EXCL ALFALFA), ORGANIC - PRODUCTION, MEASURED IN TONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"9,074",15.2
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,HAY,"HAY, (EXCL ALFALFA), ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,HAY,"HAY, (EXCL ALFALFA), ORGANIC - SALES, MEASURED IN TONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,HAY,"HAY, ALFALFA, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),528,8.4
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,HAY,"HAY, ALFALFA, ORGANIC - OPERATIONS WITH AREA HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),11,6.5
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,HAY,"HAY, ALFALFA, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),6,8.9
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,HAY,"HAY, ALFALFA, ORGANIC - PRODUCTION, MEASURED IN TONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,830",10.2
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,HAY,"HAY, ALFALFA, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,HAY,"HAY, ALFALFA, ORGANIC - SALES, MEASURED IN TONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,HAY,"HAY, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"6,120",7
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,HAY,"HAY, ORGANIC - OPERATIONS WITH AREA HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),19,5.2
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,HAY,"HAY, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),14,6.9
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,HAY,"HAY, ORGANIC - PRODUCTION, MEASURED IN TONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"10,904",8.8
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,HAY,"HAY, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,284,001",11.3
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,HAY,"HAY, ORGANIC - SALES, MEASURED IN TONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"8,740",12.5
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,HAYLAGE,"HAYLAGE, (EXCL ALFALFA), ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,HAYLAGE,"HAYLAGE, (EXCL ALFALFA), ORGANIC - OPERATIONS WITH AREA HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),2,35.1
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,HAYLAGE,"HAYLAGE, (EXCL ALFALFA), ORGANIC - PRODUCTION, MEASURED IN TONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,HAYLAGE,"HAYLAGE, ALFALFA, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,HAYLAGE,"HAYLAGE, ALFALFA, ORGANIC - OPERATIONS WITH AREA HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),2,19.4
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,HAYLAGE,"HAYLAGE, ALFALFA, ORGANIC - PRODUCTION, MEASURED IN TONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,HAYLAGE,"HAYLAGE, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,HAYLAGE,"HAYLAGE, ORGANIC - OPERATIONS WITH AREA HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),2,18.9
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,HAYLAGE,"HAYLAGE, ORGANIC - PRODUCTION, MEASURED IN TONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,OATS,"OATS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),192,7.6
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,OATS,"OATS, ORGANIC - OPERATIONS WITH AREA HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),4,8.1
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,OATS,"OATS, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),4,7.4
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,OATS,"OATS, ORGANIC - PRODUCTION, MEASURED IN BU",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"8,200",8.8
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,OATS,"OATS, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"40,804",9.6
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,OATS,"OATS, ORGANIC - SALES, MEASURED IN BU",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"6,542",9.6
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,SORGHUM,"SORGHUM, GRAIN, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"2,184",17.4
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,SORGHUM,"SORGHUM, GRAIN, ORGANIC - OPERATIONS WITH AREA HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),18,20.7
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,SORGHUM,"SORGHUM, GRAIN, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),15,20.9
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,SORGHUM,"SORGHUM, GRAIN, ORGANIC - PRODUCTION, MEASURED IN BU",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"138,840",21.3
CENSUS,2016,YEAR,,STATE,KANSAS,20,,,,,,,0,,SORGHUM,"SORGHUM, GRAIN, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"816,579",18.4
