year,max_high_F,avg_high_F,min_low_F,avg_low_F,max_precip_in,sum_precip_in,state
1893,103,68.97534247,-8,41.70410959,2.45,32.56,NE
1894,104,70.73150685,-13,42.38082192,1.6,19.72,NE
1895,106,68.30684932,-15,42.34520548,2.57,21.97,NE
1896,105,68,0,43.96994536,7.25,46.08,NE
1897,109,67.79726027,-4,43.41917808,2.42,27.4,NE
1898,105,66.25479452,-6,42.62739726,2.44,34.25,NE
1899,105,66.38630137,-29,42.51506849,2.37,29.34,NE
1900,108,68.18082192,-1,44.80273973,2.7,36.5,NE
1901,109,68.1369863,-7,43.52054795,2.55,23.72,NE
1902,104,66.08767123,-15,40.61917808,3.12,47.62,NE
1903,100,67.20547945,-14,40.19726027,2.59,35.92,NE
1904,96,65.86885246,-11,41.1010929,1.72,31.87,NE
1905,106,65.94246575,-30,40.92876712,2.9,26.48,NE
1906,98,66.45205479,-1,41.95342466,1.84,24.2,NE
1907,103,67.20821918,-4,42.16164384,3.22,29.68,NE
1908,100,68.40437158,0,42.81420765,3.3,32.67,NE
1909,106,66.93972603,-15,40.76986301,2.94,31.75,NE
1910,106,68.37808219,-19,41.46849315,2.2,24.05,NE
1911,113,69.41643836,-17,42.91232877,1.7,22.44,NE
1912,104,66.26502732,-20,40.07377049,2.4,25.36,NE
1913,110,69.15890411,-22,42.70136986,2.12,19.58,NE
1914,108,68.84931507,-12,42.63013699,3.6,27.28,NE
1915,97,64.75890411,-13,43.6109589,2.4,50.95,NE
1916,101,66.90437158,-16,42.57923497,2.79,27.5,NE
1917,103,66.51780822,-12,41.59726027,2.35,22.64,NE
1918,112,69.94794521,-20,43.97808219,2.06,27.62,NE
1919,105,66.33424658,-20,43.79452055,1.74,23.81,NE
1920,105,67.63661202,-2,44.10928962,1.1,21.94,NE
1921,106,71.76438356,4,47.04109589,1.5,17.73,NE
1922,109,69.42191781,0,45.16164384,2.14,24.7,NE
1923,106,68.71506849,-4,44.71780822,3.78,25.49,NE
1924,105,67.2704918,-17,41.9726776,2.7,25.57,NE
1925,104,68.7260274,-1,44.62465753,2,30.01,NE
1926,106,67.74246575,-2,45.19452055,1.85,24.37,NE
1927,101,68.15890411,-7,44.99726027,2.42,33.82,NE
1928,99,68.73224044,-10,43.41256831,2.72,38.46,NE
1929,106,64.85205479,-14,42.09589041,2.58,34.64,NE
1930,112,68.90136986,-16,43.69863014,2.58,26.13,NE
1931,110,70.72876712,1,45.88767123,1.53,26.13,NE
1932,102,66.6284153,-13,42.09016393,1.91,28.43,NE
1933,110,71.30136986,-18,44.66849315,3.53,21.77,NE
1934,112,71.85753425,-11,45.52328767,1.46,19.45,NE
1935,108,66.94520548,-8,44.48493151,1.64,31.08,NE
1936,116,69.55464481,-10,43.01639344,1.67,19.44,NE
1937,111,66.93424658,-4,42.53424658,1.45,21.72,NE
1938,104,71.36164384,-2,45.05479452,3.58,27.85,NE
1939,108,71.54794521,-5,43.98082192,1.57,24.09,NE
1940,110,66.91256831,-11,41.96448087,1.04,25.58,NE
1941,105,68.28493151,2,45.49863014,2.9,41.08,NE
1942,103,67.01643836,-7,43.57808219,2.92,37,NE
1943,106,68.28219178,-18,42.41917808,1.73,29.02,NE
1944,102,66.77868852,-3,44.37978142,2.16,42.86,NE
1945,100,66.26849315,-11,43.04931507,2.59,38.94,NE
1946,107,70.29041096,-6,45.74520548,1.73,31.2,NE
1947,113,68.58082192,-23,43.60547945,1.59,26.07,NE
1948,103,66.49453552,-10,42.94262295,5.43,34.03,NE
1949,104,63.70958904,-4,41.85205479,1.5,21.87,NE
1950,100,65.18356164,-3,41.61369863,5.81,31.54,NE
1951,105,63.69863014,-12,42.33424658,4.08,46.91,NE
1952,107,68.46994536,-1,43.68579235,3.43,21.2,NE
1953,108,69.59726027,0,45.43013699,1.89,17.1,NE
1954,113,71.83287671,-4,46.03013699,1.49,16.9,NE
1955,105,67.75068493,0,44.22191781,2.03,23.37,NE
1956,108,69.41256831,-6,44.23497268,1.59,14.39,NE
1957,105,65.53150685,-1,44.64383562,2.35,32.85,NE
1958,102,65.32876712,1,43.73972603,2.1,34.81,NE
1959,105,66.40547945,-14,42.16712329,2.5,32.1,NE
1960,104,64.34153005,-6,41.45628415,2.37,27.71,NE
1961,104,64.6,-17,40.91780822,2.69,34.45,NE
1962,106,66.83561644,-18,42.67123288,2.78,37.19,NE
1963,103,69.16712329,-13,43.40273973,2.3,24.13,NE
1964,106,68.32786885,-7,42.23770492,2.21,29.8,NE
1965,103,67.33424658,-6,41.89589041,2.65,37.98,NE
1966,109,68.14520548,-9,40.23013699,2.39,14.85,NE
1967,98,66.55068493,-6,41.16986301,4.93,41.01,NE
