Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2016,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,BARLEY,"BARLEY, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),614,12.7
CENSUS,2016,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,BARLEY,"BARLEY, ORGANIC - OPERATIONS WITH AREA HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),6,9.3
CENSUS,2016,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,BARLEY,"BARLEY, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),6,9.8
CENSUS,2016,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,BARLEY,"BARLEY, ORGANIC - PRODUCTION, MEASURED IN BU",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"11,218",16.2
CENSUS,2016,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,BARLEY,"BARLEY, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"88,901",15.7
CENSUS,2016,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,BARLEY,"BARLEY, ORGANIC - SALES, MEASURED IN BU",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"11,218",17.3
CENSUS,2016,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,BEANS,"BEANS, DRY EDIBLE, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),754,15.4
CENSUS,2016,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,BEANS,"BEANS, DRY EDIBLE, ORGANIC - OPERATIONS WITH AREA HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),3,14.3
CENSUS,2016,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,BEANS,"BEANS, DRY EDIBLE, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),3,14.3
CENSUS,2016,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,BEANS,"BEANS, DRY EDIBLE, ORGANIC - PRODUCTION, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"10,946",15.7
CENSUS,2016,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,BEANS,"BEANS, DRY EDIBLE, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"533,686",14.7
CENSUS,2016,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,BEANS,"BEANS, DRY EDIBLE, ORGANIC - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"10,946",15
CENSUS,2016,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,BEANS,"BEANS, DRY EDIBLE, PINTO, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),754,16.6
CENSUS,2016,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,BEANS,"BEANS, DRY EDIBLE, PINTO, ORGANIC - OPERATIONS WITH AREA HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),3,14.7
CENSUS,2016,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,BEANS,"BEANS, DRY EDIBLE, PINTO, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),3,14.7
CENSUS,2016,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,BEANS,"BEANS, DRY EDIBLE, PINTO, ORGANIC - PRODUCTION, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"10,946",20.1
CENSUS,2016,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,BEANS,"BEANS, DRY EDIBLE, PINTO, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"533,686",18.1
CENSUS,2016,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,BEANS,"BEANS, DRY EDIBLE, PINTO, ORGANIC - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"10,946",20.1
CENSUS,2016,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,BUCKWHEAT,"BUCKWHEAT, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),417,20.5
CENSUS,2016,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,BUCKWHEAT,"BUCKWHEAT, ORGANIC - OPERATIONS WITH AREA HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),3,11.3
CENSUS,2016,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,BUCKWHEAT,"BUCKWHEAT, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),3,12.5
CENSUS,2016,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,BUCKWHEAT,"BUCKWHEAT, ORGANIC - PRODUCTION, MEASURED IN BU",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"10,832",20.1
CENSUS,2016,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,BUCKWHEAT,"BUCKWHEAT, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"185,000",21.2
CENSUS,2016,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,BUCKWHEAT,"BUCKWHEAT, ORGANIC - SALES, MEASURED IN BU",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"10,832",20.4
CENSUS,2016,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"11,031",7.5
CENSUS,2016,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - OPERATIONS WITH AREA HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),78,3.7
CENSUS,2016,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),77,4.3
CENSUS,2016,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - PRODUCTION, MEASURED IN BU",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,516,658",7.6
CENSUS,2016,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"12,681,108",10.1
