year,crop,acres_harvested,bu_per_acre,state,max_high_F,avg_high_F,min_low_F,avg_low_F,max_precip_in,sum_precip_in
1866,BARLEY,66e3,22,IOWA,NA,NA,NA,NA,NA,NA
1866,CORN_GRAIN,181e4,32,IOWA,NA,NA,NA,NA,NA,NA
1866,OATS,45e4,34.5,IOWA,NA,NA,NA,NA,NA,NA
1866,RYE,4e4,16,IOWA,NA,NA,NA,NA,NA,NA
1866,WHEAT,119e4,13,IOWA,NA,NA,NA,NA,NA,NA
1867,BARLEY,7e4,25,IOWA,NA,NA,NA,NA,NA,NA
1867,CORN_GRAIN,181e4,41,IOWA,NA,NA,NA,NA,NA,NA
1867,OATS,5e5,40,IOWA,NA,NA,NA,NA,NA,NA
1867,RYE,38e3,16.5,IOWA,NA,NA,NA,NA,NA,NA
1867,WHEAT,152e4,12,IOWA,NA,NA,NA,NA,NA,NA
1868,BARLEY,75e3,20,IOWA,NA,NA,NA,NA,NA,NA
1868,CORN_GRAIN,189e4,40.5,IOWA,NA,NA,NA,NA,NA,NA
1868,OATS,56e4,31,IOWA,NA,NA,NA,NA,NA,NA
1868,RYE,36e3,14.5,IOWA,NA,NA,NA,NA,NA,NA
1868,WHEAT,198e4,13.5,IOWA,NA,NA,NA,NA,NA,NA
1869,BARLEY,9e4,21.7,IOWA,NA,NA,NA,NA,NA,NA
1869,CORN_GRAIN,208e4,33.5,IOWA,NA,NA,NA,NA,NA,NA
1869,OATS,61e4,35,IOWA,NA,NA,NA,NA,NA,NA
1869,RYE,36e3,14,IOWA,NA,NA,NA,NA,NA,NA
1869,WHEAT,229e4,13,IOWA,NA,NA,NA,NA,NA,NA
1870,BARLEY,1e5,22.5,IOWA,NA,NA,NA,NA,NA,NA
1870,CORN_GRAIN,255e4,40,IOWA,NA,NA,NA,NA,NA,NA
1870,OATS,66e4,30,IOWA,NA,NA,NA,NA,NA,NA
1870,RYE,34e3,15.5,IOWA,NA,NA,NA,NA,NA,NA
1870,WHEAT,211e4,12.5,IOWA,NA,NA,NA,NA,NA,NA
1871,BARLEY,115e3,22.5,IOWA,NA,NA,NA,NA,NA,NA
1871,CORN_GRAIN,306e4,43.5,IOWA,NA,NA,NA,NA,NA,NA
1871,OATS,75e4,40,IOWA,NA,NA,NA,NA,NA,NA
1871,RYE,35e3,15,IOWA,NA,NA,NA,NA,NA,NA
1871,WHEAT,242e4,11,IOWA,NA,NA,NA,NA,NA,NA
1872,BARLEY,132e3,22.5,IOWA,NA,NA,NA,NA,NA,NA
1872,CORN_GRAIN,336e4,41,IOWA,NA,NA,NA,NA,NA,NA
1872,OATS,85e4,35.5,IOWA,NA,NA,NA,NA,NA,NA
1872,RYE,35e3,15,IOWA,NA,NA,NA,NA,NA,NA
1872,WHEAT,257e4,12.5,IOWA,NA,NA,NA,NA,NA,NA
1873,BARLEY,148e3,18,IOWA,NA,NA,NA,NA,NA,NA
1873,CORN_GRAIN,36e5,32.5,IOWA,NA,NA,NA,NA,NA,NA
1873,OATS,91e4,33,IOWA,NA,NA,NA,NA,NA,NA
1873,RYE,35e3,15,IOWA,NA,NA,NA,NA,NA,NA
1873,WHEAT,311e4,13,IOWA,NA,NA,NA,NA,NA,NA
1874,BARLEY,166e3,21.5,IOWA,NA,NA,NA,NA,NA,NA
1874,CORN_GRAIN,415e4,34,IOWA,NA,NA,NA,NA,NA,NA
1874,OATS,96e4,30,IOWA,NA,NA,NA,NA,NA,NA
1874,RYE,37e3,14.5,IOWA,NA,NA,NA,NA,NA,NA
1874,WHEAT,342e4,11.5,IOWA,NA,NA,NA,NA,NA,NA
1875,BARLEY,223e3,18,IOWA,NA,NA,NA,NA,NA,NA
1875,CORN_GRAIN,46e5,35,IOWA,NA,NA,NA,NA,NA,NA
1875,OATS,1075e3,36,IOWA,NA,NA,NA,NA,NA,NA
1875,RYE,4e4,14,IOWA,NA,NA,NA,NA,NA,NA
1875,WHEAT,318e4,10,IOWA,NA,NA,NA,NA,NA,NA
1876,BARLEY,242e3,18,IOWA,NA,NA,NA,NA,NA,NA
1876,CORN_GRAIN,52e5,34,IOWA,NA,NA,NA,NA,NA,NA
1876,OATS,125e4,25.5,IOWA,NA,NA,NA,NA,NA,NA
1876,RYE,38e3,13.5,IOWA,NA,NA,NA,NA,NA,NA
1876,WHEAT,283e4,6.5,IOWA,NA,NA,NA,NA,NA,NA
1877,BARLEY,23e4,23,IOWA,NA,NA,NA,NA,NA,NA
1877,CORN_GRAIN,58e5,33.5,IOWA,NA,NA,NA,NA,NA,NA
1877,OATS,142e4,38,IOWA,NA,NA,NA,NA,NA,NA
1877,RYE,42e3,15.5,IOWA,NA,NA,NA,NA,NA,NA
1877,WHEAT,246e4,14.5,IOWA,NA,NA,NA,NA,NA,NA
1878,BARLEY,212e3,20,IOWA,NA,NA,NA,NA,NA,NA
1878,CORN_GRAIN,61e5,40.5,IOWA,NA,NA,NA,NA,NA,NA
1878,OATS,15e5,36.5,IOWA,NA,NA,NA,NA,NA,NA
1878,RYE,65e3,15,IOWA,NA,NA,NA,NA,NA,NA
1878,WHEAT,308e4,9.5,IOWA,NA,NA,NA,NA,NA,NA
1879,BARLEY,199e3,20.2,IOWA,NA,NA,NA,NA,NA,NA
1879,CORN_GRAIN,6616e3,41.6,IOWA,NA,NA,NA,NA,NA,NA
1879,OATS,1508e3,33.6,IOWA,NA,NA,NA,NA,NA,NA
1879,RYE,103e3,14.8,IOWA,NA,NA,NA,NA,NA,NA
1879,WHEAT,3049e3,10.2,IOWA,NA,NA,NA,NA,NA,NA
1880,BARLEY,2e5,22.5,IOWA,NA,NA,NA,NA,NA,NA
1880,CORN_GRAIN,695e4,39.5,IOWA,NA,NA,NA,NA,NA,NA
1880,OATS,175e4,35,IOWA,NA,NA,NA,NA,NA,NA
1880,RYE,106e3,14.5,IOWA,NA,NA,NA,NA,NA,NA
1880,WHEAT,268e4,10.5,IOWA,NA,NA,NA,NA,NA,NA
1881,BARLEY,22e4,19,IOWA,NA,NA,NA,NA,NA,NA
1881,CORN_GRAIN,653e4,30,IOWA,NA,NA,NA,NA,NA,NA
1881,OATS,205e4,29,IOWA,NA,NA,NA,NA,NA,NA
1881,RYE,112e3,13,IOWA,NA,NA,NA,NA,NA,NA
1881,WHEAT,198e4,6,IOWA,NA,NA,NA,NA,NA,NA
